team,name,position,role,active_roster_date,batting_order,contact,power,discipline,speed,stuff,control,stamina,stats_date,rating_source,sample_note
KT 위즈,스기모토,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,우규민,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,배제성,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,전용주,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,소형준,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,사우어,투수,pitcher,2026-07-23,,0,0,0,0,50,51,83,2026-07-23,2026_qualified_pitcher_stats,2026 KBO 규정이닝권 공식 성적 기반
KT 위즈,이상동,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,주권,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,손동현,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,로건,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,오원석,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,박영현,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,장성우,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,조대현,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,한승택,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,허경민,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,힐리어드,내야수,batter,2026-07-23,,54,71,54,68,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
KT 위즈,오윤석,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,권동진,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,장준원,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,김상수,내야수,batter,2026-07-23,,56,29,65,62,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
KT 위즈,류현인,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,김현수,외야수,batter,2026-07-23,,56,42,47,47,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
KT 위즈,안현민,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,배정대,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,최원준,외야수,batter,2026-07-23,,82,63,89,60,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
KT 위즈,이정훈,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,장진혁,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
KT 위즈,김민혁,외야수,batter,2026-07-23,,50,50,50,55,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,임찬규,투수,pitcher,2026-07-23,,0,0,0,0,38,56,80,2026-07-23,2026_qualified_pitcher_stats,2026 KBO 규정이닝권 공식 성적 기반
LG 트윈스,함덕주,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,송승기,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,우강훈,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,이우찬,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,손주영,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,톨허스트,투수,pitcher,2026-07-23,,0,0,0,0,53,62,80,2026-07-23,2026_qualified_pitcher_stats,2026 KBO 규정이닝권 공식 성적 기반
LG 트윈스,이정용,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,김진성,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,김진수,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,김윤식,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,박시원,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,양우진,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,김영우,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,웰스,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,박동원,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,이주헌,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,오지환,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,문보경,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,오스틴,내야수,batter,2026-07-23,,73,90,81,59,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
LG 트윈스,신민재,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,문정빈,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
LG 트윈스,구본혁,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
