game_id,date,away,home,venue,schedule_type
94,2026-04-18,한화 이글스,롯데 자이언츠,사직,announced_135
95,2026-04-18,SSG 랜더스,NC 다이노스,창원,announced_135
96,2026-04-19,KIA 타이거즈,두산 베어스,잠실,announced_135
97,2026-04-19,키움 히어로즈,KT 위즈,수원,announced_135
98,2026-04-19,LG 트윈스,삼성 라이온즈,대구,announced_135
99,2026-04-19,한화 이글스,롯데 자이언츠,사직,announced_135
100,2026-04-19,SSG 랜더스,NC 다이노스,창원,announced_135
101,2026-04-21,한화 이글스,LG 트윈스,잠실,announced_135
102,2026-04-21,NC 다이노스,키움 히어로즈,고척,announced_135
103,2026-04-21,KIA 타이거즈,KT 위즈,수원,announced_135
104,2026-04-21,SSG 랜더스,삼성 라이온즈,대구,announced_135
105,2026-04-21,두산 베어스,롯데 자이언츠,사직,announced_135
106,2026-04-22,한화 이글스,LG 트윈스,잠실,announced_135
107,2026-04-22,NC 다이노스,키움 히어로즈,고척,announced_135
108,2026-04-22,KIA 타이거즈,KT 위즈,수원,announced_135
109,2026-04-22,SSG 랜더스,삼성 라이온즈,대구,announced_135
110,2026-04-22,두산 베어스,롯데 자이언츠,사직,announced_135
111,2026-04-23,한화 이글스,LG 트윈스,잠실,announced_135
112,2026-04-23,NC 다이노스,키움 히어로즈,고척,announced_135
113,2026-04-23,KIA 타이거즈,KT 위즈,수원,announced_135
114,2026-04-23,SSG 랜더스,삼성 라이온즈,대구,announced_135
115,2026-04-23,두산 베어스,롯데 자이언츠,사직,announced_135
116,2026-04-24,LG 트윈스,두산 베어스,잠실,announced_135
117,2026-04-24,삼성 라이온즈,키움 히어로즈,고척,announced_135
118,2026-04-24,KT 위즈,SSG 랜더스,문학,announced_135
119,2026-04-24,NC 다이노스,한화 이글스,대전,announced_135
120,2026-04-24,롯데 자이언츠,KIA 타이거즈,광주,announced_135
121,2026-04-25,LG 트윈스,두산 베어스,잠실,announced_135
122,2026-04-25,삼성 라이온즈,키움 히어로즈,고척,announced_135
123,2026-04-25,KT 위즈,SSG 랜더스,문학,announced_135
124,2026-04-25,NC 다이노스,한화 이글스,대전,announced_135
125,2026-04-25,롯데 자이언츠,KIA 타이거즈,광주,announced_135
126,2026-04-26,LG 트윈스,두산 베어스,잠실,announced_135
127,2026-04-26,삼성 라이온즈,키움 히어로즈,고척,announced_135
128,2026-04-26,KT 위즈,SSG 랜더스,문학,announced_135
129,2026-04-26,NC 다이노스,한화 이글스,대전,announced_135
130,2026-04-26,롯데 자이언츠,KIA 타이거즈,광주,announced_135
131,2026-04-28,삼성 라이온즈,두산 베어스,잠실,announced_135
132,2026-04-28,LG 트윈스,KT 위즈,수원,announced_135
133,2026-04-28,SSG 랜더스,한화 이글스,대전,announced_135
134,2026-04-28,키움 히어로즈,롯데 자이언츠,사직,announced_135
135,2026-04-28,KIA 타이거즈,NC 다이노스,창원,announced_135
136,2026-04-29,삼성 라이온즈,두산 베어스,잠실,announced_135
137,2026-04-29,LG 트윈스,KT 위즈,수원,announced_135
138,2026-04-29,SSG 랜더스,한화 이글스,대전,announced_135
139,2026-04-29,키움 히어로즈,롯데 자이언츠,사직,announced_135
140,2026-04-29,KIA 타이거즈,NC 다이노스,창원,announced_135
141,2026-04-30,삼성 라이온즈,두산 베어스,잠실,announced_135
142,2026-04-30,LG 트윈스,KT 위즈,수원,announced_135
143,2026-04-30,SSG 랜더스,한화 이글스,대전,announced_135
144,2026-04-30,키움 히어로즈,롯데 자이언츠,사직,announced_135
145,2026-04-30,KIA 타이거즈,NC 다이노스,창원,announced_135
146,2026-05-01,NC 다이노스,LG 트윈스,잠실,announced_135
147,2026-05-01,두산 베어스,키움 히어로즈,고척,announced_135
148,2026-05-01,롯데 자이언츠,SSG 랜더스,문학,announced_135
149,2026-05-01,한화 이글스,삼성 라이온즈,대구,announced_135
150,2026-05-01,KT 위즈,KIA 타이거즈,광주,announced_135
151,2026-05-02,NC 다이노스,LG 트윈스,잠실,announced_135
152,2026-05-02,두산 베어스,키움 히어로즈,고척,announced_135
153,2026-05-02,롯데 자이언츠,SSG 랜더스,문학,announced_135
154,2026-05-02,한화 이글스,삼성 라이온즈,대구,announced_135
155,2026-05-02,KT 위즈,KIA 타이거즈,광주,announced_135
156,2026-05-03,NC 다이노스,LG 트윈스,잠실,announced_135
157,2026-05-03,두산 베어스,키움 히어로즈,고척,announced_135
158,2026-05-03,롯데 자이언츠,SSG 랜더스,문학,announced_135
159,2026-05-03,한화 이글스,삼성 라이온즈,대구,announced_135
160,2026-05-03,KT 위즈,KIA 타이거즈,광주,announced_135
161,2026-05-05,두산 베어스,LG 트윈스,잠실,announced_135
162,2026-05-05,NC 다이노스,SSG 랜더스,문학,announced_135
163,2026-05-05,롯데 자이언츠,KT 위즈,수원,announced_135
164,2026-05-05,키움 히어로즈,삼성 라이온즈,대구,announced_135
165,2026-05-05,한화 이글스,KIA 타이거즈,광주,announced_135
166,2026-05-06,두산 베어스,LG 트윈스,잠실,announced_135
167,2026-05-06,NC 다이노스,SSG 랜더스,문학,announced_135
168,2026-05-06,롯데 자이언츠,KT 위즈,수원,announced_135
169,2026-05-06,키움 히어로즈,삼성 라이온즈,대구,announced_135
170,2026-05-06,한화 이글스,KIA 타이거즈,광주,announced_135
171,2026-05-07,두산 베어스,LG 트윈스,잠실,announced_135
172,2026-05-07,NC 다이노스,SSG 랜더스,문학,announced_135
173,2026-05-07,롯데 자이언츠,KT 위즈,수원,announced_135
174,2026-05-07,키움 히어로즈,삼성 라이온즈,대구,announced_135
175,2026-05-07,한화 이글스,KIA 타이거즈,광주,announced_135
176,2026-05-08,SSG 랜더스,두산 베어스,잠실,announced_135
177,2026-05-08,KT 위즈,키움 히어로즈,고척,announced_135
178,2026-05-08,LG 트윈스,한화 이글스,대전,announced_135
179,2026-05-08,KIA 타이거즈,롯데 자이언츠,사직,announced_135
180,2026-05-08,삼성 라이온즈,NC 다이노스,창원,announced_135
181,2026-05-09,SSG 랜더스,두산 베어스,잠실,announced_135
182,2026-05-09,KT 위즈,키움 히어로즈,고척,announced_135
183,2026-05-09,LG 트윈스,한화 이글스,대전,announced_135
184,2026-05-09,KIA 타이거즈,롯데 자이언츠,사직,announced_135
185,2026-05-09,삼성 라이온즈,NC 다이노스,창원,announced_135
186,2026-05-10,SSG 랜더스,두산 베어스,잠실,announced_135
187,2026-05-10,KT 위즈,키움 히어로즈,고척,announced_135
188,2026-05-10,LG 트윈스,한화 이글스,대전,announced_135
189,2026-05-10,KIA 타이거즈,롯데 자이언츠,사직,announced_135
190,2026-05-10,삼성 라이온즈,NC 다이노스,창원,announced_135
191,2026-05-12,삼성 라이온즈,LG 트윈스,잠실,announced_135
192,2026-05-12,한화 이글스,키움 히어로즈,고척,announced_135
193,2026-05-12,SSG 랜더스,KT 위즈,수원,announced_135
194,2026-05-12,두산 베어스,KIA 타이거즈,광주,announced_135
195,2026-05-12,NC 다이노스,롯데 자이언츠,사직,announced_135
196,2026-05-13,삼성 라이온즈,LG 트윈스,잠실,announced_135
197,2026-05-13,한화 이글스,키움 히어로즈,고척,announced_135
198,2026-05-13,SSG 랜더스,KT 위즈,수원,announced_135
199,2026-05-13,두산 베어스,KIA 타이거즈,광주,announced_135
200,2026-05-13,NC 다이노스,롯데 자이언츠,사직,announced_135
201,2026-05-14,삼성 라이온즈,LG 트윈스,잠실,announced_135
202,2026-05-14,한화 이글스,키움 히어로즈,고척,announced_135
203,2026-05-14,SSG 랜더스,KT 위즈,수원,announced_135
204,2026-05-14,두산 베어스,KIA 타이거즈,광주,announced_135
205,2026-05-14,NC 다이노스,롯데 자이언츠,사직,announced_135
206,2026-05-15,롯데 자이언츠,두산 베어스,잠실,announced_135
207,2026-05-15,LG 트윈스,SSG 랜더스,문학,announced_135
208,2026-05-15,한화 이글스,KT 위즈,수원,announced_135
209,2026-05-15,KIA 타이거즈,삼성 라이온즈,대구,announced_135
210,2026-05-15,키움 히어로즈,NC 다이노스,창원,announced_135
211,2026-05-16,롯데 자이언츠,두산 베어스,잠실,announced_135
212,2026-05-16,LG 트윈스,SSG 랜더스,문학,announced_135
213,2026-05-16,한화 이글스,KT 위즈,수원,announced_135
214,2026-05-16,KIA 타이거즈,삼성 라이온즈,대구,announced_135
215,2026-05-16,키움 히어로즈,NC 다이노스,창원,announced_135
216,2026-05-17,롯데 자이언츠,두산 베어스,잠실,announced_135
217,2026-05-17,LG 트윈스,SSG 랜더스,문학,announced_135
218,2026-05-17,한화 이글스,KT 위즈,수원,announced_135
219,2026-05-17,KIA 타이거즈,삼성 라이온즈,대구,announced_135
220,2026-05-17,키움 히어로즈,NC 다이노스,창원,announced_135
221,2026-05-19,NC 다이노스,두산 베어스,잠실,announced_135
222,2026-05-19,SSG 랜더스,키움 히어로즈,고척,announced_135
223,2026-05-19,롯데 자이언츠,한화 이글스,대전,announced_135
224,2026-05-19,KT 위즈,삼성 라이온즈,대구,announced_135
225,2026-05-19,LG 트윈스,KIA 타이거즈,광주,announced_135
226,2026-05-20,NC 다이노스,두산 베어스,잠실,announced_135
227,2026-05-20,SSG 랜더스,키움 히어로즈,고척,announced_135
228,2026-05-20,롯데 자이언츠,한화 이글스,대전,announced_135
229,2026-05-20,KT 위즈,삼성 라이온즈,대구,announced_135
230,2026-05-20,LG 트윈스,KIA 타이거즈,광주,announced_135
231,2026-05-21,NC 다이노스,두산 베어스,잠실,announced_135
232,2026-05-21,SSG 랜더스,키움 히어로즈,고척,announced_135
233,2026-05-21,롯데 자이언츠,한화 이글스,대전,announced_135
